12,12
13,13
21,21
22,22
51,51
3,3
4,4
6,6
1,1
25,25
52,52
53,53
60,60
61,28
62,28
146,28
321,28
322,28
323,28
324,28
325,5
326,28
372,28
328,28
329,28
99,28
330,28
331,28
332,28
172,28
333,28
334,28
117,23
87,28
86,28
55,55
56,56
57,57
58,58
59,59
66,28
83,59
96,28
241,59
378,28
379,58
380,59
381,59
88,28
382,28
14,14
29,29
15,15
16,16
17,17
18,18
150,28
383,28
384,28
385,28
386,37
81,28
335,28
234,28
212,28
336,28
337,28
33,33
338,2
339,2
340,2
341,28
63,28
138,28
356,28
8,8
10,10
11,11
342,7
343,7
80,28
344,28
345,11
346,28
50,50
347,28
348,28
349,28
69,32
350,32
351,28
44,44
45,45
46,46
47,47
170,28
249,28
387,28
388,28
389,28
390,46
79,8
391,28
206,28
192,28
64,28
65,28
67,28
101,28
106,28
193,28
392,34
393,28
394,28
43,43
301,28
160,28
256,28
352,28
353,28
354,28
355,28
75,28
76,28
36,36
37,37
85,28
84,28
304,28
110,28
357,28
358,28
359,37
360,37
361,37
362,37
363,36
364,36
365,36
366,32
244,28
38,38
39,39
40,40
41,41
42,42
161,28
63,28
94,28
71,28
367,36
78,28
368,28
369,28
183,28
49,49
48,48
370,28
371,54
372,54
373,54
374,54
375,54
376,28
377,28
70,54
123,28
196,27
282,28
242,27
139,28
153,28
82,28
197,28
201,28
229,28
279,28
252,28
305,28
137,28
277,28
